Viser til melding 22.12.2022 vedrørende tildeling til primærinnsidere i forbindelse med spareprogram for ansatte og styremedlemmer. Nedenfor følger en oppdatert oppstilling, der det er korrigert beholdning etter tildeling på enkelte primærinnsidere. 

Navn	                                             Tildeling	Beholdning etter tildeling*	
Joar Leer, Risk Manager*	                     117	18.278	
Jo Morten Aunet, styremedlem	                     235	 8.343	
Odd Inge Myrvold, banksjef BM	                     235	19.698	
Audun Veium, styreleder                              235	15.185	
Øyvind Kveli, nestleder i styret	             235	   235	
Jon Håvard Solum, adm. banksjef	                     235	50.263	
Renathe Nilsen, styremedlem	                     235	 1.200	
Ann J Klinkenberg, leder kundeservice og digital*     58	   542	
Kårhild Hallager Berg, banksjef PM	             117	 1.769	
Johan Trapnes, banksjef økonomi og finans	     235	 3.692	
Marit Sveine, styremedlem          	              58	   127	
Marte Landsem, styremedlem                           235	   235	
Espen Ledang, styremedlem*                           235	70.645	
Sigurd Flaat Liljefjell, varamedlem i styret         235	   235	
Tom Christian Nynes, nærstående*                     117	   542	
Hilde Grete Olsen, nærstående*                       117	18.278	
Kjerstin Opdahl Skistad, rådgiver bærekraft          235	   235	
			
Inkl. nærstående
